"replicate","max_LRT","argmax_breakpoint_m","n_singular","n_warn"
82,0.935270198600506,0.37,0,0
83,8.48312904684661,0.2,0,0
84,3.41977558549695,0.53,30,0
85,0.188421965850466,0.2,19,1
86,0.700553936754432,0.5,9,3
87,0.842949485933786,0.21,1,2
88,2.4309031117906,0.31,0,1
89,1.45111161013506,0.55,12,6
90,3.2371912801475,0.2,22,16
91,1.18191870920452,0.57,34,1
92,7.88954180117219,0.57,41,0
93,1.28391454537791,0.2,1,8
94,0.407083445413377,0.21,4,2
95,0.832452291185177,0.6,36,0
96,0.371366155173178,0.43,41,0
97,0.690716559334646,0.6,0,0
98,0.329720327152245,0.25,0,0
99,1.38814810374009,0.42,0,0
100,1.78367259566744,0.22,30,0
101,1.02130304577508,0.38,0,0
102,0.721603665745874,0.2,22,1
103,0.888309339828538,0.53,0,8
104,1.63330560853251,0.2,36,1
105,0.800380388799908,0.5,34,1
106,0.684017656057108,0.33,4,2
107,0.509111377432873,0.2,0,0
108,3.80008063335794,0.2,0,0
109,1.22926698714252,0.2,0,0
110,5.26512080624309,0.2,30,5
111,7.00159143255189,0.29,0,1
112,2.78982541460607,0.27,0,4
113,1.62170969513033,0.59,32,0
114,1.27508380984659,0.22,8,3
115,2.23561255726395,0.59,13,2
116,8.778814344637,0.55,0,0
117,5.98904416023663,0.2,0,0
118,0.814825282715333,0.35,0,0
119,0.787861038219262,0.2,41,0
120,1.45513865338262,0.6,6,5
121,0.191689229464373,0.6,0,0
122,2.51709646324525,0.35,14,0
123,1.93865315626726,0.59,0,3
124,2.57111105447132,0.6,13,0
125,2.25402641414871,0.38,0,0
126,1.32696720006959,0.51,0,0
127,1.29585191083612,0.23,0,0
128,0.969766268182525,0.22,1,10
129,1.67406145697623,0.36,0,0
130,0.957988677563776,0.33,0,1
131,4.89770943187693,0.57,27,1
132,0.636296612208866,0.2,0,1
133,2.84892241108867,0.6,32,0
134,5.10286218640044,0.6,14,2
135,3.71432842468005,0.5,0,0
136,1.22979934478417,0.6,0,3
137,1.55370284030596,0.2,0,0
138,3.62213119086368,0.23,0,0
139,0.738413007819418,0.2,17,2
140,1.80578025796331,0.56,0,1
141,1.88318403922176,0.55,26,0
142,3.56110066380654,0.2,4,7
143,2.21140119163971,0.6,0,20
144,1.08975476020885,0.6,0,0
145,1.04815633289979,0.24,0,0
146,2.79505061736052,0.26,0,1
147,6.35481245805761,0.6,0,0
148,0.234249047117373,0.21,12,3
149,1.4468831989069,0.38,0,0
150,1.56824210028839,0.39,20,1
151,1.58991641711646,0.6,40,0
152,1.4596813875205,0.6,0,0
153,2.04080472029682,0.3,0,2
154,5.53488747358017,0.4,0,0
155,1.57644240228888,0.6,36,0
156,1.42045964755982,0.2,39,0
157,1.52193568253267,0.56,31,0
158,7.54839706609687,0.43,0,0
159,0.23980097637741,0.6,41,0
160,0.558730364617986,0.21,0,0
161,8.26771495919451,0.33,0,0
162,1.71073303720482,0.31,35,0
163,4.40291237183874,0.24,0,1
164,1.91476222280596,0.54,0,0
165,1.47902400870356,0.25,0,0
166,2.8263074877259,0.2,29,0
167,0.270527385552839,0.42,25,0
168,2.04200159153146,0.6,29,0
169,3.99294661843351,0.35,3,2
170,2.7669940038279,0.35,0,2
171,0.811104569831173,0.47,0,4
172,4.93770827302478,0.53,0,0
173,2.23543956477579,0.6,0,0
174,1.91971464200907,0.2,0,3
175,1.19977003415124,0.39,0,1
176,0.400773584502417,0.3,41,0
177,0.289270986913834,0.39,0,0
178,2.16717205452784,0.38,0,0
179,4.68543921265086,0.2,0,2
180,5.38709239504931,0.49,0,0
181,0.427521913222336,0.25,0,1
182,1.61847163619058,0.2,12,2
183,2.83807251563076,0.36,0,0
184,6.05384270034699,0.58,0,1
185,2.66393969116604,0.6,0,0
186,2.18813626650683,0.6,0,0
187,3.15963127260193,0.25,24,2
188,1.10230317281173,0.6,0,0
189,7.42157992791067,0.45,0,0
190,0.991446585782569,0.43,0,0
191,1.25066120772078,0.55,8,1
192,2.49280207275615,0.56,19,2
193,2.17975252433916,0.28,0,2
194,1.14813713745696,0.53,0,0
195,2.04321968493923,0.25,0,0
196,0.359932935058964,0.33,0,1
197,2.66452753115914,0.44,0,0
198,1.30858474261947,0.2,0,0
199,1.5693008947469,0.58,41,0
200,1.03022460202544,0.35,0,0
201,1.78465905166911,0.34,0,0
202,1.65230754250899,0.55,35,2
203,2.33273192136483,0.51,41,0
204,0.81366444151331,0.39,0,0
205,1.54276372781783,0.45,0,0
206,1.7014381781355,0.38,32,0
207,1.77968648262561,0.2,15,1
208,0.468321834795688,0.54,9,2
209,7.41457834432674,0.6,0,2
210,0.923880545845122,0.23,0,0
211,3.47998905971161,0.51,0,0
212,4.74556070615824,0.48,33,2
213,0.790775885710332,0.6,11,3
214,10.9499110944422,0.58,40,0
215,3.7427307077777,0.47,0,2
216,3.12334486987754,0.21,31,0
217,1.10707089367571,0.2,0,0
218,1.66744084964165,0.23,0,0
219,10.4280546199939,0.25,1,12
220,0.452177872693767,0.28,0,0
221,5.23337423894861,0.45,0,0
222,1.45528844307808,0.2,1,3
223,1.19954887352299,0.6,10,12
224,0.854229308588401,0.6,27,0
225,0.839544816146372,0.29,30,0
226,0.0806990244759049,0.27,0,0
227,0.647161275634062,0.31,0,0
228,0.793544358838858,0.35,0,0
229,0.807367999948212,0.51,0,1
230,1.34893840524319,0.25,41,0
231,0.557026454185916,0.22,0,0
232,1.74151319152747,0.21,32,1
233,1.30076946592965,0.2,0,1
234,0.954094967421383,0.28,0,0
235,2.70225258324331,0.53,37,1
236,3.06698701573498,0.43,0,0
237,3.34863747226086,0.52,32,0
