participantId,level,run_id,run_start,run_end,run_samples,run_duration,levelTime,n_runs,run_dur_diff,is_matched_run
P006,13,13,817.142,831.345,129,14.202999999999975,14.27520751953125,1,-0.07220751953127547,TRUE
P006,14,14,831.456,853.421,199,21.965000000000032,22.0546875,1,-0.08968749999996817,TRUE
P006,15,15,853.525,908.379,495,54.85400000000004,54.9791259765625,1,-0.12512597656245816,TRUE
P006,16,16,908.489,950.801,382,42.31200000000001,42.380859375,1,-0.06885937499998818,TRUE
P006,17,17,950.912,977.913,245,27.000999999999976,27.1497802734375,1,-0.14878027343752365,TRUE
P006,18,18,978.017,997.192,174,19.174999999999955,19.33856201171875,1,-0.16356201171879547,TRUE
P006,19,19,997.304,1011.08,125,13.776000000000067,13.80401611328125,1,-0.028016113281182697,TRUE
P006,20,20,1011.19,1041.272,272,30.08199999999988,30.220703125,1,-0.13870312500012005,TRUE
P006,21,21,1041.384,1056.493,137,15.108999999999924,15.275634765625,1,-0.1666347656250764,TRUE
P006,22,22,1056.604,1069.058,113,12.453999999999951,12.524169921875,1,-0.07016992187504911,TRUE
P006,23,23,1069.169,1101.808,295,32.638999999999896,32.791015625,1,-0.15201562500010368,TRUE
P006,24,24,1101.919,1126.469,223,24.549999999999955,24.633056640625,1,-0.08305664062504547,TRUE
P007,1,1,72.824,127.394,493,54.57000000000001,54.76466369628906,1,-0.1946636962890551,TRUE
P007,2,2,127.509,161.848,311,34.33900000000001,34.37153625488281,1,-0.03253625488279965,TRUE
P007,3,3,161.96,205.364,392,43.403999999999996,43.556732177734375,1,-0.15273217773437864,TRUE
P007,4,4,205.475,238.67,300,33.19499999999999,33.348388671875,1,-0.15338867187500682,TRUE
P007,5,5,238.784,259.093,185,20.309000000000026,20.34149169921875,1,-0.03249169921872408,TRUE
P007,6,6,259.2,269.557,95,10.357000000000028,10.461090087890625,1,-0.10409008789059726,TRUE
P007,7,7,269.668,306.917,337,37.24899999999997,37.360595703125,1,-0.1115957031250332,TRUE
P007,8,8,307.028,321.766,134,14.738,14.904510498046875,1,-0.16651049804687545,TRUE
P007,9,9,321.877,346.325,221,24.44799999999998,24.53125,1,-0.08325000000002092,TRUE
P007,10,10,346.436,407.225,553,60.789000000000044,60.886505126953125,1,-0.09750512695308089,TRUE
P007,11,11,407.333,445.929,350,38.59599999999995,38.71697998046875,1,-0.1209799804688032,TRUE
P007,12,12,446.039,482.82,332,36.781000000000006,36.891448974609375,1,-0.11044897460936909,TRUE
P007,13,13,482.93,513.333,278,30.402999999999963,30.583099365234375,1,-0.18009936523441183,TRUE
P007,14,14,513.445,541.001,249,27.555999999999926,27.58367919921875,1,-0.02767919921882367,TRUE
P007,15,15,541.112,571.046,273,29.934000000000083,30.0321044921875,1,-0.09810449218741724,TRUE
P007,16,16,571.151,609.987,351,38.83600000000001,39.023681640625,1,-0.18768164062498727,TRUE
P007,17,17,610.1,637.306,246,27.206000000000017,27.2911376953125,1,-0.08513769531248272,TRUE
P007,18,18,637.417,658.641,192,21.223999999999933,21.376220703125,1,-0.1522207031250673,TRUE
P007,19,19,658.752,678.623,182,19.871000000000095,19.98431396484375,1,-0.11331396484365541,TRUE
P007,20,20,678.736,712.983,311,34.24699999999996,34.26153564453125,1,-0.014535644531292746,TRUE
P007,21,21,713.09,733.641,186,20.55099999999993,20.754150390625,1,-0.20315039062506912,TRUE
P007,22,22,733.752,766.026,293,32.274,32.31597900390625,1,-0.04197900390624909,TRUE
P007,23,23,766.137,787.733,198,21.596000000000004,21.7236328125,1,-0.12763281249999636,TRUE
P007,24,24,787.836,801.612,126,13.775999999999954,13.904052734375,1,-0.12805273437504638,TRUE
P008,1,1,83.549,144.588,551,61.03899999999999,61.20317840576172,1,-0.16417840576173148,TRUE
P008,2,2,144.699,189.546,406,44.84699999999998,44.90303039550781,1,-0.05603039550783251,TRUE
P008,3,3,189.658,221.195,285,31.537000000000006,31.689544677734375,1,-0.15254467773436886,TRUE
P008,4,4,221.306,245.749,221,24.442999999999984,24.581817626953125,1,-0.13881762695314137,TRUE
P008,5,5,245.86,289.078,390,43.21799999999996,43.35638427734375,1,-0.1383842773437891,TRUE
P008,6,6,289.188,359.725,636,70.53700000000003,70.620208740234375,1,-0.08320874023434044,TRUE
P008,7,7,359.826,373.6,125,13.774000000000001,13.87457275390625,1,-0.10057275390624909,TRUE
P008,8,8,373.71,406.241,297,32.531000000000006,32.645721435546875,1,-0.11472143554686909,TRUE
P008,9,9,406.345,416.915,99,10.569999999999993,10.69793701171875,1,-0.12793701171875682,TRUE
P008,10,10,417.027,474.467,518,57.44,57.5509033203125,2,-0.11090332031250227,TRUE
P008,11,11,474.578,566.168,843,91.59000000000003,25.7218017578125,2,65.86819824218753,FALSE
P008,10,12,566.279,645.828,717,79.54899999999998,57.5509033203125,2,21.998096679687478,FALSE
P008,11,13,645.939,671.605,232,25.666000000000054,25.7218017578125,2,-0.05580175781244634,TRUE
P008,12,14,671.716,706.7,316,34.98400000000004,35.13604736328125,1,-0.1520473632812127,TRUE
P008,13,15,706.81,728.585,197,21.77500000000009,21.927001953125,1,-0.15200195312490905,TRUE
P008,14,16,728.698,772.803,398,44.10500000000002,44.1627197265625,1,-0.05771972656248181,TRUE
P008,15,17,772.914,782.358,86,9.44399999999996,9.6241455078125,1,-0.18014550781254002,TRUE
P008,16,18,782.469,801.136,169,18.666999999999916,18.70880126953125,1,-0.041801269531333674,TRUE
P008,17,19,801.247,837.896,331,36.649,36.73175048828125,1,-0.08275048828124909,TRUE
P008,18,20,838.007,862.502,225,24.495000000000005,24.69134521484375,1,-0.19634521484374545,TRUE
P008,19,21,862.617,873.185,96,10.567999999999984,10.652587890625,1,-0.08458789062501637,TRUE
P008,20,22,873.297,891.628,166,18.331000000000017,18.457763671875,1,-0.12676367187498272,TRUE
P008,21,23,891.739,917.292,231,25.552999999999997,25.595458984375,1,-0.04245898437500273,TRUE
