participantId,level,run_id,run_start,run_end,run_samples,run_duration,gap_to_next_s,gap_from_prev_s
P013,23,23,557.124,565.789,79,8.664999999999964,0.11400000000003274,0.11200000000008004
P013,24,24,565.903,585.568,178,19.664999999999964,NA,0.11400000000003274
P014,1,1,55.08,78.526,212,23.445999999999998,0.1110000000000042,NA
P014,2,2,78.637,119.631,370,40.994,0.1110000000000042,0.1110000000000042
P014,3,3,119.742,162.198,383,42.456,0.11099999999999,0.1110000000000042
P014,4,4,162.309,192.527,273,30.21799999999999,0.11200000000002319,0.11099999999999
P014,5,5,192.639,212.417,179,19.77799999999999,0.11099999999999,0.11200000000002319
P014,6,6,212.528,270.578,524,58.04999999999998,0.11000000000001364,0.11099999999999
P014,7,7,270.688,287.577,153,16.88900000000001,0.11099999999999,0.11000000000001364
P014,8,8,287.688,379.57,828,91.882,0.11200000000002319,0.11099999999999
P014,9,9,379.682,419.457,359,39.77499999999998,0.11000000000001364,0.11200000000002319
P014,10,10,419.567,474.118,492,54.55099999999999,0.11099999999999,0.11000000000001364
P014,11,11,474.229,493.24,172,19.011000000000024,0.11199999999996635,0.11099999999999
P014,12,12,493.352,520.239,243,26.887000000000057,0.11000000000001364,0.11199999999996635
P014,13,13,520.349,532.573,111,12.223999999999933,0.11199999999996635,0.11000000000001364
